Student_ID,Study_Hours_Per_Week,Attendance_Percent,Quiz_Avg_Score,Sleep_Hours_Per_Night,Social_Media_Hours_Per_Day,Previous_GPA,Extracurricular_Activities,Parent_Education_Level,Current_GPA,Final_Score,Pass_Fail,Grade,Risk_Level
S1062,18.1,100.0,8.0,5.9,0.2,2.23,0,High School,1.79,25.0,Fail,F,High Risk
S1063,8.9,93.1,88.0,3.4,5.5,3.35,0,Bachelor,1.53,46.3,Fail,F,Medium Risk
S1064,8.0,75.1,30.2,8.3,0.0,3.99,1,Bachelor,1.88,51.7,Pass,D,Medium Risk
S1065,28.1,98.0,57.8,8.1,0.9,2.34,1,Master,2.93,60.5,Pass,D,Low Risk
S1066,33.6,73.9,42.6,6.6,4.1,2.99,0,Master,1.77,47.3,Fail,F,Medium Risk
S1067,19.3,49.4,39.1,7.1,1.1,3.2,0,Bachelor,1.56,44.7,Fail,F,Medium Risk
S1068,30.0,64.9,88.2,7.8,0.3,3.18,1,Master,2.63,60.5,Pass,D,Low Risk
S1069,23.6,51.9,55.6,4.7,1.3,2.86,0,Bachelor,2.24,42.8,Fail,F,Medium Risk
S1070,13.5,74.7,71.9,6.2,0.9,3.39,0,Bachelor,1.99,36.6,Fail,F,High Risk
S1071,23.6,80.3,64.1,8.2,5.5,3.19,0,Bachelor,2.1,50.9,Pass,D,Medium Risk
S1072,35.4,100.0,74.5,5.1,1.1,1.81,1,High School,2.05,71.1,Pass,C,Low Risk
S1073,19.6,84.9,66.5,7.4,4.7,3.5,0,Master,2.34,41.4,Fail,F,Medium Risk
S1074,35.6,76.7,39.3,5.0,6.7,3.51,1,Bachelor,2.83,57.0,Pass,D,Medium Risk
S1075,0.0,92.4,84.9,7.7,1.7,2.19,1,Bachelor,2.14,44.3,Fail,F,Medium Risk
S1076,28.2,46.8,55.1,6.9,7.2,2.83,1,PhD,1.88,33.4,Fail,F,High Risk
S1077,20.9,83.5,33.9,4.6,1.4,3.35,0,High School,2.09,48.2,Fail,F,Medium Risk
S1078,17.0,91.6,56.4,8.7,10.0,2.63,1,Bachelor,2.12,40.6,Fail,F,Medium Risk
S1079,20.9,57.8,95.0,5.9,0.3,3.66,1,High School,2.07,58.3,Pass,D,Medium Risk
S1080,0.1,97.2,82.0,5.8,3.5,4.0,1,Master,2.42,40.2,Fail,F,Medium Risk
S1081,17.8,85.1,58.0,7.3,2.0,2.17,1,Master,2.17,46.2,Fail,F,Medium Risk
S1082,23.6,73.8,58.0,8.7,1.5,1.7,1,Bachelor,2.12,53.2,Pass,D,Medium Risk
S1083,34.8,89.5,58.6,5.5,3.0,3.04,1,Bachelor,2.21,57.8,Pass,D,Medium Risk
S1084,14.8,100.0,100.0,7.1,3.7,3.38,1,Bachelor,3.01,41.1,Fail,F,Medium Risk
S1085,11.9,82.7,72.6,7.6,0.0,2.62,1,Master,2.36,39.0,Fail,F,High Risk
S1086,15.0,83.7,73.6,8.0,0.5,3.96,0,Bachelor,2.22,57.7,Pass,D,Medium Risk
S1087,29.2,73.1,85.6,7.3,3.7,1.73,0,Bachelor,2.67,55.6,Pass,D,Medium Risk
S1088,23.3,67.3,69.8,6.4,3.3,3.35,0,PhD,2.05,43.4,Fail,F,Medium Risk
S1089,14.7,92.5,59.8,5.8,10.1,2.32,1,High School,1.75,29.3,Fail,F,High Risk
S1090,25.1,67.2,61.1,7.1,4.3,4.0,1,High School,2.01,37.8,Fail,F,High Risk
S1091,21.0,81.1,63.6,5.4,9.0,4.0,1,Bachelor,1.67,26.7,Fail,F,High Risk
S1092,29.7,72.8,64.3,3.0,3.6,2.19,1,PhD,2.25,47.2,Fail,F,Medium Risk
S1093,13.0,87.2,79.6,7.7,1.1,2.36,1,Bachelor,1.7,45.8,Fail,F,Medium Risk
S1094,16.7,85.0,66.0,8.4,0.3,3.49,1,High School,1.97,42.3,Fail,F,Medium Risk
S1095,16.1,95.6,79.7,3.5,4.6,2.49,0,Bachelor,1.6,47.7,Fail,F,Medium Risk
S1096,5.4,72.3,63.4,5.5,3.1,2.76,1,Bachelor,1.73,38.9,Fail,F,High Risk
S1097,23.0,76.0,66.6,7.9,0.1,2.82,0,High School,2.25,68.5,Pass,C,Low Risk
S1098,22.6,65.3,25.0,10.1,1.3,1.26,0,Bachelor,1.65,27.9,Fail,F,High Risk
S1099,20.1,73.3,83.3,7.0,9.4,2.79,0,PhD,1.88,56.1,Pass,D,Medium Risk
S1100,17.7,85.7,71.9,5.9,2.1,2.25,0,Bachelor,1.83,56.7,Pass,D,Medium Risk
S1101,5.8,91.4,85.0,6.7,1.7,2.41,1,Bachelor,2.29,41.1,Fail,F,Medium Risk
S1102,15.8,66.2,7.1,9.1,1.8,3.95,1,Bachelor,1.54,32.2,Fail,F,High Risk
S1103,16.6,93.0,100.0,6.0,0.7,1.79,0,High School,2.53,54.2,Pass,D,Medium Risk
S1104,12.0,100.0,62.2,5.8,1.4,3.45,1,Master,1.99,47.9,Fail,F,Medium Risk
S1105,18.4,86.2,87.2,6.3,1.4,2.58,1,Bachelor,2.43,66.2,Pass,C,Low Risk
S1106,24.0,100.0,44.2,5.6,0.2,2.58,0,Bachelor,2.67,54.4,Pass,D,Medium Risk
S1107,38.9,68.4,77.3,7.2,4.4,3.43,1,Bachelor,2.78,62.8,Pass,D,Low Risk
S1108,21.7,61.3,43.9,9.4,1.6,3.07,0,Bachelor,1.87,39.2,Fail,F,High Risk
S1109,22.6,53.3,52.5,7.5,5.2,3.26,1,Bachelor,1.99,27.9,Fail,F,High Risk
S1110,19.3,100.0,100.0,6.6,5.7,3.57,1,High School,2.61,56.3,Pass,D,Medium Risk
S1111,0.8,89.8,61.2,6.6,0.7,2.53,0,Master,1.87,48.4,Fail,F,Medium Risk
S1112,19.7,79.2,69.3,4.7,3.2,2.31,0,PhD,1.99,34.2,Fail,F,High Risk
S1113,20.6,84.2,82.4,8.3,1.9,1.93,1,Bachelor,2.31,46.7,Fail,F,Medium Risk
S1114,44.6,63.1,74.9,6.9,6.4,2.14,1,PhD,2.54,59.9,Pass,D,Medium Risk
S1115,18.1,100.0,68.0,6.7,0.7,4.0,0,High School,2.22,44.8,Fail,F,Medium Risk
S1116,23.0,81.9,72.3,11.8,3.4,3.8,1,Bachelor,2.28,49.1,Fail,F,Medium Risk
S1117,19.7,81.6,100.0,7.4,2.8,1.72,1,Bachelor,1.97,53.7,Pass,D,Medium Risk
S1118,8.3,90.9,63.8,5.9,1.0,1.74,1,Bachelor,1.46,32.3,Fail,F,High Risk
S1119,31.4,87.2,69.0,6.4,0.4,3.19,1,Bachelor,2.21,50.3,Pass,D,Medium Risk
S1120,27.5,83.4,86.0,8.7,3.2,3.24,1,Bachelor,2.69,65.0,Pass,D,Low Risk
S1121,27.9,68.1,87.1,7.2,4.0,3.24,1,High School,2.18,44.5,Fail,F,Medium Risk
S1122,10.9,87.1,88.7,4.8,1.1,2.6,1,Bachelor,2.36,36.4,Fail,F,High Risk
S1123,34.0,100.0,77.8,8.4,3.1,2.7,0,High School,2.82,59.2,Pass,D,Medium Risk
S1124,6.0,100.0,42.1,6.0,1.5,3.06,0,Master,1.35,43.9,Fail,F,Medium Risk
S1125,25.9,100.0,97.7,9.8,3.7,2.87,0,High School,3.06,63.7,Pass,D,Low Risk
S1126,41.9,72.3,42.1,8.6,0.7,1.02,1,High School,2.52,52.4,Pass,D,Medium Risk
S1127,10.1,65.2,71.1,6.3,6.6,2.62,1,Bachelor,1.51,37.9,Fail,F,High Risk
S1128,14.3,78.1,49.9,8.9,1.0,2.12,0,Bachelor,2.09,29.2,Fail,F,High Risk
S1129,21.0,80.8,63.7,7.1,1.4,2.94,1,Master,1.99,53.3,Pass,D,Medium Risk
S1130,15.0,96.4,71.6,8.3,0.2,4.0,1,Bachelor,2.54,55.8,Pass,D,Medium Risk
S1131,4.5,54.6,71.4,7.7,0.4,3.09,0,Bachelor,1.39,34.3,Fail,F,High Risk
S1132,20.7,100.0,73.4,5.7,2.2,2.55,1,Master,1.88,61.8,Pass,D,Low Risk
S1133,9.4,77.6,97.3,6.0,0.9,3.54,0,Bachelor,2.17,40.7,Fail,F,Medium Risk
S1134,24.7,73.6,74.1,8.5,5.4,3.19,0,High School,2.32,60.2,Pass,D,Low Risk
S1135,10.8,64.8,60.1,6.5,0.0,3.14,1,Bachelor,1.76,40.9,Fail,F,Medium Risk
S1136,35.5,55.2,84.3,6.4,1.4,3.29,1,PhD,2.1,54.5,Pass,D,Medium Risk
S1137,12.2,92.3,88.8,5.6,1.2,4.0,0,Bachelor,2.33,51.5,Pass,D,Medium Risk
S1138,16.8,81.1,40.4,7.6,0.1,1.9,1,High School,1.99,41.5,Fail,F,Medium Risk
S1139,28.1,60.7,76.9,10.1,0.4,3.18,1,High School,2.42,65.7,Pass,C,Low Risk
S1140,7.7,60.6,79.0,5.4,1.6,2.06,0,High School,1.81,31.2,Fail,F,High Risk
S1141,22.3,75.0,59.0,7.0,2.0,3.24,0,Bachelor,2.0,41.2,Fail,F,Medium Risk
S1142,33.1,100.0,92.5,9.1,1.6,2.07,1,Bachelor,3.24,77.2,Pass,B,Low Risk
S1143,3.9,76.1,62.0,6.9,2.3,2.47,0,High School,1.43,32.4,Fail,F,High Risk
S1144,21.8,57.5,67.5,7.7,2.7,2.56,1,PhD,2.17,52.9,Pass,D,Medium Risk
S1145,22.6,76.3,61.5,5.4,0.0,3.58,1,Master,2.6,61.9,Pass,D,Low Risk
S1146,27.8,75.9,65.3,7.6,1.9,3.53,1,Bachelor,2.56,49.6,Fail,F,Medium Risk
S1147,7.6,39.5,43.1,6.7,9.9,1.8,0,Master,1.1,27.5,Fail,F,High Risk
S1148,6.8,79.2,36.2,8.5,2.2,2.84,1,High School,1.6,25.2,Fail,F,High Risk
S1149,25.2,76.5,96.9,8.8,3.4,2.23,1,Bachelor,2.83,65.3,Pass,C,Low Risk
S1150,23.0,90.4,48.1,10.9,1.1,1.79,0,Bachelor,1.85,53.5,Pass,D,Medium Risk
S1151,22.5,100.0,45.2,7.9,4.5,2.63,0,Master,1.99,51.8,Pass,D,Medium Risk
S1152,23.5,96.9,21.9,7.5,4.4,2.55,0,Master,1.94,36.7,Fail,F,High Risk
S1153,13.2,76.0,52.2,7.3,2.2,4.0,1,High School,2.43,27.3,Fail,F,High Risk
S1154,22.3,63.4,38.5,6.5,11.2,3.15,1,PhD,1.88,37.3,Fail,F,High Risk
S1155,22.9,100.0,97.8,7.5,0.4,1.7,0,High School,2.36,47.3,Fail,F,Medium Risk
S1156,12.9,80.9,85.2,6.6,0.1,2.35,1,Master,2.11,47.9,Fail,F,Medium Risk
S1157,38.7,80.2,51.2,7.3,4.4,3.62,0,PhD,2.35,62.1,Pass,D,Low Risk
S1158,24.7,79.6,100.0,9.0,4.9,4.0,1,High School,2.51,61.1,Pass,D,Low Risk
S1159,8.1,83.0,84.6,5.5,0.4,1.53,0,Master,2.29,62.4,Pass,D,Low Risk
S1160,26.6,77.8,58.5,8.7,0.9,1.3,1,High School,1.77,60.6,Pass,D,Low Risk
S1161,10.3,71.4,15.0,9.0,0.1,4.0,1,Bachelor,2.22,26.2,Fail,F,High Risk
S1162,27.9,71.8,100.0,6.8,1.0,3.11,1,Bachelor,2.85,60.9,Pass,D,Low Risk
S1163,31.6,79.5,37.2,3.8,4.5,2.11,0,Bachelor,2.33,43.4,Fail,F,Medium Risk
S1164,11.8,71.8,32.1,6.1,2.2,3.23,0,PhD,1.57,20.2,Fail,F,High Risk
S1165,29.6,69.3,85.5,8.9,1.3,0.69,1,Bachelor,2.27,51.5,Pass,D,Medium Risk
S1166,24.1,81.6,100.0,7.0,1.4,2.8,0,Bachelor,2.16,55.8,Pass,D,Medium Risk
S1167,28.2,76.2,92.7,5.5,0.0,3.06,0,Master,2.4,43.2,Fail,F,Medium Risk
S1168,39.0,100.0,76.3,6.2,1.1,3.54,0,PhD,3.08,66.6,Pass,C,Low Risk
S1169,17.5,40.2,76.9,8.3,3.1,1.99,1,High School,2.19,40.3,Fail,F,Medium Risk
S1170,12.5,96.4,82.1,7.8,11.0,2.87,1,PhD,1.94,32.9,Fail,F,High Risk
S1171,11.1,98.7,80.2,6.6,5.6,2.06,1,High School,2.09,51.3,Pass,D,Medium Risk
S1172,11.8,48.9,70.6,6.4,0.1,3.0,0,Master,1.76,45.3,Fail,F,Medium Risk
S1173,19.2,74.9,67.1,6.4,6.9,2.08,0,High School,1.58,45.5,Fail,F,Medium Risk
S1174,23.4,74.4,63.7,5.6,4.6,2.47,1,High School,2.27,43.5,Fail,F,Medium Risk
S1175,22.8,58.9,49.9,9.4,4.5,2.0,1,Bachelor,1.68,47.1,Fail,F,Medium Risk
S1176,28.3,68.3,59.4,6.5,1.8,3.32,0,Bachelor,2.19,54.7,Pass,D,Medium Risk
S1177,20.1,63.3,31.1,8.8,1.5,3.49,1,Bachelor,1.77,41.0,Fail,F,Medium Risk
S1178,34.5,100.0,63.0,9.3,1.1,2.61,0,High School,2.51,56.3,Pass,D,Medium Risk
S1179,17.4,94.0,45.2,8.5,0.2,2.83,1,Bachelor,2.21,49.4,Fail,F,Medium Risk
S1180,47.2,99.1,42.9,6.4,0.8,1.64,0,PhD,2.58,72.4,Pass,C,Low Risk
S1181,26.3,90.8,68.6,7.6,0.8,2.56,1,Bachelor,2.37,51.7,Pass,D,Medium Risk
S1182,11.4,63.1,92.8,7.0,2.0,2.76,1,High School,1.87,63.8,Pass,D,Low Risk
S1183,9.3,72.1,83.4,5.6,4.1,4.0,1,Bachelor,2.2,38.4,Fail,F,High Risk
S1184,24.8,87.3,33.6,7.5,1.9,1.91,0,High School,2.55,45.6,Fail,F,Medium Risk
S1185,17.8,61.7,45.2,5.2,0.2,3.97,1,Master,1.94,32.8,Fail,F,High Risk
S1186,27.1,90.7,83.8,8.8,9.5,3.6,1,Master,2.94,57.7,Pass,D,Medium Risk
S1187,24.7,76.4,45.4,6.3,8.6,3.02,0,Bachelor,1.6,26.6,Fail,F,High Risk
S1188,19.3,74.4,60.5,7.3,4.6,4.0,1,Bachelor,2.24,39.9,Fail,F,High Risk
S1189,11.5,90.7,76.0,7.4,14.2,3.1,1,Master,1.78,31.8,Fail,F,High Risk
S1190,4.9,86.7,45.6,6.6,2.4,3.11,1,Bachelor,1.39,36.6,Fail,F,High Risk
S1191,15.5,74.6,67.1,7.9,9.9,2.76,1,Master,1.78,48.7,Fail,F,Medium Risk
S1192,28.6,97.4,38.3,6.3,0.2,3.78,0,Bachelor,2.8,56.0,Pass,D,Medium Risk
S1193,22.1,63.8,53.0,8.3,1.4,3.68,1,Master,2.42,25.9,Fail,F,High Risk
S1194,7.5,89.2,71.4,5.0,0.8,2.3,0,Bachelor,2.07,60.0,Pass,D,Medium Risk
S1195,21.7,88.9,33.1,7.2,0.7,1.74,1,Bachelor,1.53,46.6,Fail,F,Medium Risk
S1196,23.9,75.4,73.8,9.9,0.5,2.64,1,PhD,2.35,49.2,Fail,F,Medium Risk
S1197,11.2,84.9,64.6,5.5,2.9,2.16,1,Bachelor,2.04,43.6,Fail,F,Medium Risk
S1198,21.5,61.2,76.0,6.0,4.6,2.75,0,Bachelor,2.12,47.1,Fail,F,Medium Risk
S1199,20.6,93.9,69.5,7.8,2.6,3.79,0,High School,1.96,47.6,Fail,F,Medium Risk
S1200,8.6,77.2,92.3,7.3,0.5,2.43,1,Bachelor,1.89,50.9,Pass,D,Medium Risk
S1201,23.6,72.2,67.5,7.5,5.0,2.77,1,Bachelor,2.18,43.1,Fail,F,Medium Risk
S1202,25.6,95.7,56.4,7.7,3.0,2.85,1,High School,2.58,49.4,Fail,F,Medium Risk
S1203,30.8,69.4,67.4,8.0,1.5,3.48,1,High School,1.79,48.9,Fail,F,Medium Risk
S1204,30.5,58.9,75.9,8.7,3.4,1.0,1,Bachelor,2.1,42.1,Fail,F,Medium Risk
S1205,6.2,56.7,66.0,7.6,0.9,2.31,0,Master,1.73,38.4,Fail,F,High Risk
S1206,10.6,89.1,65.8,6.6,1.3,2.97,0,Bachelor,2.38,49.8,Fail,F,Medium Risk
S1207,25.2,60.8,51.0,8.0,7.5,3.76,0,High School,2.27,45.4,Fail,F,Medium Risk
S1208,25.1,100.0,51.7,9.8,1.0,2.41,0,Bachelor,2.64,61.6,Pass,D,Low Risk
S1209,25.2,48.8,36.9,6.8,1.9,1.3,1,High School,1.38,40.7,Fail,F,Medium Risk
S1210,58.5,100.0,100.0,5.5,6.6,3.3,1,Bachelor,2.82,75.0,Pass,C,Low Risk
S1211,25.7,83.2,40.1,8.7,3.7,2.29,1,High School,2.02,53.2,Pass,D,Medium Risk
S1212,31.4,78.5,51.1,6.8,0.2,1.85,0,High School,2.53,41.5,Fail,F,Medium Risk
S1213,29.5,71.8,50.6,3.7,0.5,2.3,0,High School,2.48,39.8,Fail,F,High Risk
S1214,26.5,86.0,82.9,8.3,0.0,2.65,0,Bachelor,2.81,52.6,Pass,D,Medium Risk
S1215,16.8,79.4,59.1,6.2,3.0,2.32,0,High School,2.13,52.3,Pass,D,Medium Risk
S1216,27.6,96.5,90.0,6.9,1.8,1.04,1,Bachelor,2.66,70.0,Pass,C,Low Risk
S1217,12.3,81.7,51.5,7.5,0.4,3.52,0,Bachelor,1.9,46.3,Fail,F,Medium Risk
S1218,17.6,82.3,70.6,7.3,9.5,3.82,1,Bachelor,2.2,52.7,Pass,D,Medium Risk
S1219,15.1,74.5,48.3,8.1,2.3,3.32,0,Bachelor,2.51,34.0,Fail,F,High Risk
S1220,20.8,79.1,100.0,6.3,0.8,1.89,1,Master,2.11,60.5,Pass,D,Low Risk
S1221,43.1,84.6,41.2,7.8,2.1,2.64,1,High School,3.02,56.5,Pass,D,Medium Risk
S1222,1.3,54.3,71.2,6.6,3.4,2.79,0,Bachelor,1.5,39.4,Fail,F,High Risk
S1223,26.9,59.8,77.7,8.1,0.2,3.28,1,High School,2.75,52.8,Pass,D,Medium Risk
S1224,3.9,91.1,73.3,7.9,1.0,3.33,1,High School,1.74,41.7,Fail,F,Medium Risk
S1225,15.3,82.6,61.3,5.6,4.9,2.21,1,Bachelor,2.14,46.5,Fail,F,Medium Risk
S1226,30.9,77.2,62.4,8.6,1.8,2.87,0,Bachelor,2.22,62.0,Pass,D,Low Risk
S1227,20.6,80.3,65.9,6.2,2.4,3.17,1,Master,1.81,42.8,Fail,F,Medium Risk
S1228,9.2,85.2,62.1,8.2,1.7,3.96,1,Bachelor,2.25,43.1,Fail,F,Medium Risk
S1229,12.8,71.9,84.3,7.6,0.1,3.36,1,PhD,2.54,40.7,Fail,F,Medium Risk
S1230,26.8,68.3,100.0,9.8,0.5,3.43,1,High School,2.43,42.1,Fail,F,Medium Risk
S1231,12.7,82.9,53.9,6.7,1.8,2.87,1,High School,1.55,43.5,Fail,F,Medium Risk
S1232,22.2,65.3,37.6,6.5,0.7,3.93,1,High School,1.97,45.2,Fail,F,Medium Risk
S1233,20.5,86.1,63.2,7.0,0.2,3.13,1,High School,2.29,52.8,Pass,D,Medium Risk
S1234,13.5,54.5,100.0,6.5,5.6,2.11,1,Bachelor,2.13,29.9,Fail,F,High Risk
S1235,41.4,95.4,48.9,8.2,11.9,3.92,1,Bachelor,2.96,51.5,Pass,D,Medium Risk
S1236,26.3,87.1,97.8,4.6,4.7,3.36,1,High School,2.59,40.2,Fail,F,Medium Risk
S1237,0.0,83.8,98.6,5.4,5.8,2.45,1,PhD,2.53,53.0,Pass,D,Medium Risk
S1238,21.9,94.7,53.9,5.4,0.8,2.42,1,Master,2.29,40.5,Fail,F,Medium Risk
S1239,13.4,100.0,76.4,8.4,9.7,3.04,0,High School,2.23,57.5,Pass,D,Medium Risk
S1240,28.5,95.2,97.6,9.6,0.7,3.17,1,High School,2.45,75.2,Pass,B,Low Risk
S1241,12.1,52.4,57.4,6.8,9.1,2.96,1,High School,1.55,24.3,Fail,F,High Risk
S1242,18.9,60.8,60.9,6.7,15.0,3.05,1,High School,1.7,24.9,Fail,F,High Risk
S1243,25.0,70.6,53.4,7.1,3.7,4.0,1,High School,2.51,48.3,Fail,F,Medium Risk
S1244,28.7,80.4,44.7,8.7,11.9,3.66,0,Bachelor,2.37,36.6,Fail,F,High Risk
S1245,8.0,87.8,52.0,5.6,2.5,2.95,1,High School,1.55,39.0,Fail,F,High Risk
S1246,16.7,69.1,40.5,7.4,0.9,3.55,0,Bachelor,1.99,35.4,Fail,F,High Risk
S1247,15.3,82.8,65.7,8.5,1.7,1.97,1,PhD,2.32,33.6,Fail,F,High Risk
S1248,13.5,68.7,49.6,7.8,2.7,3.12,1,Bachelor,2.35,20.9,Fail,F,High Risk
S1249,37.7,70.8,69.7,7.3,0.2,4.0,1,PhD,2.93,61.3,Pass,D,Low Risk
S1250,24.0,58.9,33.9,8.5,2.9,2.63,0,High School,2.08,34.9,Fail,F,High Risk
